,person,sentences
442,3,గుప్పెడు ఉప్పుతో దిగతుడిచింది తల్లి పోతుంది దిష్టి అని .
443,any,పొద్దు బారెడయినా లేవలేదు నాగమల్లి
444,,లేచిన మాటా పలుకూ NULL లేదు .
445,,ఇంటిలోన కళ లేదు చేనులోన సందడే లేదు .
446,3,మంచంలోని మల్లిని చుట్టూ ఉన్న మందిని మంత్రాలు తాయెత్తులను చూచి మామ తెల్లబోయె .
447,,ఇది ఏమి తెలివి ఇట్లా చంపుతున్నారు .
448,3,తాళ్లూ తాయెత్తు అంటూ ప్రాణం తీస్తున్నారు .
449,,ఇకనైనా కళ్లు తెరచి దవాఖానాకు పదండి .
450,1,వంటికి రోగం వస్తే డాక్టరును చూడాలి గాని పిచ్చి నమ్మకాలతో పిల్లను చంపేస్తారా .
451,,దవాఖానాలో డాక్టరు అమ్మాయిని చూశాడు రోగం ముదిరింది ఇంక బస్తీకి పొమ్మన్నాడు .
452,3,కన్నీటితో అమ్మ కూలబడి ఏడిచింది
453,3,కంగారు పడి నాన్న బతిమిలాడుకున్నాడు .
454,any,ఇక మాకు ఏం తోచలేదు .
455,2,ఇటు మీ దగ్గరకి వచ్చాం ఏదో మీ దయ సామీ బిడ్డను దక్కించండి .
456,,కన్నతండ్రి బాధతో కాళ్లావేళ్లా పడసాగె డాక్టరు పదపదమని బస్తీ అపుడు తీసుకుపోయె .
457,3,తరగని రోగం ముదిరింది .
458,3,ఇంత ముంచుకొచ్చింది .
459,,ముందే మందులు వేస్తే ఎపుడో సరిపోయేది .
460,3,మల్లి పడిన బాధ చూసి అందరూ భయపడినారు .
461,,ఆ తరువాత ఎపుడూ ఆ ఊరిలో తాయెత్తులు నమ్మలేదు .
462,3,చదువుకున్న ఈ మామ కాపాడెను నా తల్లిని అంటుంటే రామయ్య నవ్వాడు
463,,గంజాయి దొంగతనం చాలా ఎక్కువగా జరుగుతుండేది .
464,,పోలిసులు కలవరపడేవారు .
465,,"పగలు , రాత్రి విశ్రాంతి , సుఖం ఉండేది ."
466,3,ఆ ముసలమ్మను చూడగానే నాకు అనుమానం కలిగింది .
467,1,చాలా రోజుల పోలిసు శాఖలో పని చేస్తున్నాను .
468,1,అనుమానించుటకు కచ్చితమైన ఆధారాలు లేకపోయినప్పటికి అనుమానిస్తాను .
469,3,ఆశ్చర్యపడవలసిన విషయం ఏమి లేదు .
470,any,ఎవరైనా మోసగాళ్లు ఆ ముసలమ్మ గంజాయి పంపించే ఆలోచన చేయవచ్చు .
471,3,రెండవ చేతితో దుప్పటి పట్టుకుంది .
472,3,ఒకసారి నావైపు చూసింది కాని మాట వినిపించలేదేమో తన ఆలోచనలలో నడుస్తూ వెళుతుంది .
473,3,నా అనుమానం మరీ ఎక్కువ ఐంది .
474,3,మళ్లి వినిపించుకోకుండానే ఆమె వెళ్లిపోతుంది .
475,3,నా సిపాయి ముందుకు వెళ్లి ఆమెను ఆపివేసినాడు .
476,1,అని అడిగాను .
477,3,ఆమె చేతివేళ్లను కదిలించింది .
478,any,నాకు ఏమీ అర్ధం కాలేదు .
479,,ఆమె నడక అర్ధమయిపోయింది .
480,1,కానీ నేను ప్రశ్న మళ్లీ పలికించాను .
481,3,ఆమె ఏంటో మాట్లాడసాగింది .
482,1,నేను ఆలోచించసాగాను .
483,,ఈమె నన్ను పిచ్చివాణ్ణి చేయుటలేదు కదా ?
484,3,అయితే లాహోర్ వంటి ప్రదేశంలో ఒంటరిగా ఏమి చేస్తోంది ?
485,,ఇక్కడ ఈమెకు ఏమి పని ?
486,,"నేను ఆలోచనలలోనే మునిగిపోయాను , నా సిపాయి ఖాసిం రెండు చేతులతో ఏదో సైగ చేశాడు ."
487,3,"ఇట్లా అన్నాడు "" అయిపోయింది ."
488,3,కాశ్మీరు పని అయిపోయిందని .
489,3,స్త్రీ గాఢంగా నిట్టూర్పు విడిచింది .
490,,నాకు ఆమె కాశ్మీరు స్త్రీ అని అర్ధమైంది .
491,any,ఆమె తన మూటమీద చేయి వేయనీయటం .
492,3,అనుమానం పెరిగింది .
493,3,ఖాసిం మళ్లీ అడిగాడు .
494,any,అయినా సమాధానం సరిగా రాలేదు .
495,3,ఆమె పెద్దగా నిట్టూర్పు విడిచింది .
496,3,అతని వెదుకుతూ లాహోర్ వచ్చింది .
497,any,తిరిగి వెనక్కి రాలేదు .
